Id,CurrentAge,LotArea,PorchArea,TotalBaths,OverallQual,OverallCond,GrLivArea,SaleType,SaleCondition,MSZoning,Story,StoryFinish,SalePrice,TotRmsAbvGrd
313,60,7800,271,1,5,7,1118,WD,Normal,RM,one_and_half,finished,119900,5
315,20,9600,234,2,7,7,1641,WD,Normal,RM,two,finished,178000,6
316,5,7795,51,3,7,5,1432,WD,Normal,RL,two,finished,188500,6
317,30,13005,195,3,7,7,2353,WD,Normal,RL,two,finished,260000,10
319,17,9900,204,3,7,5,2646,WD,Normal,RL,two,finished,260000,9
320,30,14115,48,2,7,5,1472,WD,Normal,RL,split,finished,187500,6
321,4,16259,154,4,9,5,2596,New,Partial,RL,two,finished,342643,9
322,6,12099,154,3,8,5,2468,WD,Normal,RL,two,finished,354000,10
323,23,10380,96,3,7,5,2730,WD,Normal,RL,two,finished,301000,8
324,5,5820,98,1,3,8,1163,WD,Normal,RM,one,finished,126175,6
325,3,11275,0,3,7,7,2978,WD,Normal,RL,split,finished,242000,11
326,60,5000,244,1,5,6,803,WD,Normal,RM,one_and_half,unfinished,87000,5
328,50,11600,45,2,6,5,1383,WD,Normal,RL,one,finished,145250,7
329,16,11888,328,2,6,6,2134,WD,Normal,RL,two_and_half,unfinished,214500,10
330,60,6402,137,1,5,5,1192,WD,Normal,RM,two,finished,78000,6
331,46,10624,0,2,5,4,1728,WD,Normal,RL,one,finished,119000,10
332,18,8176,0,1,5,6,1056,WD,Normal,RL,one,finished,139000,6
333,6,10655,0,2,8,5,1629,WD,Normal,RL,one,finished,284000,7
334,6,8198,30,2,7,5,1358,WD,Normal,RM,one,finished,207000,6
335,12,9042,38,3,6,5,1638,WD,Normal,RL,two,finished,192000,7
336,45,164660,0,2,5,6,1786,WD,Normal,RL,one_and_half,finished,228950,7
337,4,14157,51,2,9,5,1922,WD,Normal,RL,one,finished,377426,8
338,7,9135,74,2,7,5,1536,WD,Normal,RL,one,finished,214000,7
339,12,14145,45,2,7,7,1621,WD,Normal,RL,one,finished,202500,8
340,12,12400,234,1,6,7,1215,WD,Normal,RL,one,finished,155000,6
341,8,14191,0,3,8,5,1908,WD,Normal,RL,two,finished,202900,9
342,60,8400,24,1,4,4,841,WD,Normal,RH,one,finished,82000,4
343,60,8544,0,2,3,4,1040,WD,Normal,RL,one,finished,87500,6
344,5,8849,72,2,9,5,1684,WD,Normal,RL,one,finished,266000,6
345,34,2592,0,2,5,3,1112,WD,Normal,RM,two,finished,85000,4
346,60,6435,0,1,6,5,1577,WD,Normal,RL,one_and_half,finished,140200,6
347,12,12772,0,1,6,8,958,WD,Normal,RL,one,finished,151500,5
348,50,17600,40,2,6,5,1478,WD,Normal,RL,one,finished,157500,6
349,6,2448,27,3,7,5,1626,WD,Normal,RL,two,finished,154000,6
350,4,20431,0,3,9,5,2728,New,Partial,RL,two,finished,437154,10
351,3,7820,54,2,9,5,1869,New,Partial,RL,one,finished,318061,6
354,7,8520,0,1,6,8,720,WD,Normal,RM,one,finished,105900,5
355,10,8400,108,1,6,5,1595,WD,Normal,RL,one_and_half,finished,140000,6
356,15,11249,26,2,6,5,1200,WD,Normal,RL,one,finished,177500,6
357,18,9248,26,2,6,6,1167,WD,Normal,RL,one,finished,173000,6
358,34,4224,90,2,5,5,1142,WD,Normal,RM,one,finished,134000,6
360,12,12011,449,3,8,5,1924,WD,Normal,RL,two,finished,280000,7
361,32,7540,192,1,6,6,912,WD,Normal,RL,split,finished,156000,5
362,28,9144,0,1,5,5,1505,WD,Normal,RL,one_and_half,finished,145000,8
364,3,1680,0,2,6,8,987,WD,Normal,RM,two,finished,118000,5
365,34,18800,111,3,6,5,1574,WD,Normal,RL,two,finished,190000,6
366,13,10690,346,1,5,7,1344,WD,Normal,RM,two,finished,147000,6
367,47,9500,261,2,6,5,1394,WD,Normal,RL,one,finished,159000,6
368,48,9150,110,1,6,5,1431,WD,Normal,RL,split,finished,165000,6
369,56,7800,98,1,5,6,1268,WD,Normal,RL,one,finished,132000,7
370,4,9830,199,1,5,7,1287,WD,Normal,RL,one,finished,162000,7
371,10,8121,40,3,6,5,1664,WD,Normal,RL,two,finished,172400,7
372,51,17120,59,2,4,4,1588,WD,Normal,RL,one_and_half,finished,134432,7
373,26,7175,90,1,6,5,752,WD,Normal,RL,one,finished,125000,4
374,57,10634,0,1,5,6,1319,WD,Normal,RL,one,finished,123000,5
375,6,8200,48,3,7,5,1928,WD,Normal,RL,two,finished,219500,8
376,60,10020,0,1,1,1,904,WD,Normal,RL,one,finished,61000,4
377,14,8846,0,1,5,5,914,WD,Normal,RL,split,finished,148000,5
379,0,11394,0,2,9,2,1856,New,Partial,RL,one,finished,394432,8
380,10,8123,63,3,6,5,1800,WD,Normal,RL,two,finished,179000,7
381,60,5000,242,2,5,6,1691,WD,Normal,RL,one_and_half,finished,127000,6
383,4,9245,53,3,7,5,1797,WD,Normal,RL,two,finished,213500,8
384,60,9000,91,1,6,3,784,WD,Normal,RH,one_and_half,unfinished,76000,5
385,18,53107,231,3,6,5,1953,WD,Normal,RL,two,finished,240000,9
386,5,3182,164,2,8,5,1269,WD,Normal,RL,one,finished,192000,6
389,10,9382,25,2,7,5,1479,WD,Normal,RL,one,finished,191000,6
390,2,12474,134,3,10,5,2332,New,Partial,RL,two,finished,426000,9
391,60,8405,242,1,5,8,1367,WD,Normal,RL,one_and_half,finished,119000,7
392,8,12209,192,3,6,5,1961,WD,Normal,RL,two,finished,215000,7
393,51,8339,0,1,5,7,882,WD,Normal,RL,one,finished,106500,5
395,60,10134,39,1,5,6,1034,WD,Normal,RL,one_and_half,finished,109000,5
396,54,9571,0,1,5,6,1144,WD,Normal,RL,one,finished,129000,6
397,38,7200,0,1,5,5,894,WD,Normal,RL,one,finished,123000,6
398,48,7590,168,2,5,5,1812,WD,Normal,RL,two,finished,169500,8
401,14,14963,254,2,8,5,1288,WD,Normal,RL,one,finished,245500,4
402,5,8767,0,2,7,5,1310,New,Partial,RL,one,finished,164990,6
403,13,10200,0,1,5,8,672,WD,Normal,RL,one,finished,108000,4
405,14,10364,40,3,6,5,1572,WD,Normal,RL,two,finished,168000,7
406,17,9991,78,2,4,4,1620,WD,Normal,RL,one,finished,150000,8
407,60,10480,0,1,6,5,1639,WD,Normal,RL,one_and_half,finished,115000,6
408,34,15576,160,2,6,7,1680,WD,Normal,RL,two,finished,177000,8
409,4,14154,62,3,7,5,2172,New,Partial,RL,two,finished,280000,9
412,55,34650,0,1,5,5,1056,WD,Normal,RL,one,finished,145000,5
414,60,8960,130,1,5,6,1028,WD,Normal,RM,one,finished,115000,5
415,17,11228,187,3,7,5,2097,WD,Normal,RL,two,finished,228000,9
416,3,8899,30,2,7,5,1340,New,Partial,RL,one,finished,181134,6
417,32,7844,0,2,6,7,1400,WD,Normal,RL,two,finished,149500,6
418,60,22420,0,3,6,6,2624,WD,Normal,RL,two,finished,239000,10
420,42,8450,269,1,5,6,1056,WD,Normal,RL,one,finished,142000,6
422,10,16635,0,2,6,7,1602,WD,Normal,RL,one,finished,215000,8
423,56,21750,0,1,5,5,988,WD,Normal,RL,one,finished,113000,4
424,12,9200,66,3,8,5,2630,WD,Normal,RL,two,finished,315000,8
425,54,9000,44,1,6,5,1196,WD,Normal,RL,one,finished,139000,6
426,18,3378,126,2,7,8,1389,WD,Normal,RM,two,finished,135000,6
427,21,12800,396,2,7,5,1644,WD,Normal,RL,split,finished,275000,5
428,53,8593,0,1,4,6,907,WD,Normal,RL,one,finished,109008,5
429,3,6762,54,2,7,5,1208,New,Partial,RL,one,finished,195400,6
430,22,11457,169,2,6,5,1412,WD,Normal,RL,one,finished,175000,6
433,39,1920,36,2,5,5,1365,WD,Normal,RM,two,finished,122500,6
434,12,10839,36,3,6,5,1604,WD,Normal,RL,two,finished,181000,7
